Artist,Song Title,sadness,joy,fear,disgust,anger
Link 80,For What It's Worth,0.174987,0.257646,0.209011,0.090991,0.282053
Link 80,No Such Thing,0.518168,0.025914,0.33371,0.083433,0.388598
Link 80,Packing Up,0.442672,0.162979,0.186156,0.103657,0.305782
Link 80,The Truth of It,0.153645,0.020337,0.50495,0.017637,0.61899
Linkin Park,Halfway Right,0.386694,0.008253,0.609731,0.080569,0.25223
Linkin Park,Heavy (feat. Kiiara),0.76677,0.221061,0.218376,0.068287,0.130314
Material Issue,A Very Good Thing,0.14438,0.552532,0.151046,0.017891,0.073528
Material Issue,Kim the Waitress,0.066475,0.453447,0.01459,0.195947,0.295011
Material Issue,She's Goin' Thru My Head,0.071945,0.529812,0.127191,0.144779,0.222442
Michael Hutchence,A Straight Line,0.680657,0.033526,0.136639,0.152501,0.279412
Michael Hutchence,All I'm Saying,0.400428,0.382832,0.070636,0.05674,0.199603
Michael Hutchence,Baby It's Alright,0.053835,0.695686,0.044221,0.109212,0.062919
Michael Hutchence,Breathe,0.30919,0.274053,0.132993,0.176508,0.213041
Michael Hutchence,Don't Save Me from Myself,0.139307,0.198361,0.08248,0.07836,0.092968
Michael Hutchence,Fear,0.038942,0.037617,0.949075,0.063753,0.011716
Michael Hutchence,Flesh and Blood,0.164005,0.226569,0.069627,0.007232,0.02882
Michael Hutchence,Get on the Inside,0.000672,0.106583,0.000952,8e-06,0.000937
Michael Hutchence,Let Me Show You,0.30988,0.077656,0.278221,0.18106,0.307732
Michael Hutchence,Possibilities,0.137872,0.165179,0.24095,0.383377,0.391719
Michael Hutchence,Put the Pieces Back Together,0.095411,0.421303,0.100467,0.436503,0.063981
Michael Hutchence,She Flirts for England,0.214118,0.20067,0.037313,0.047873,0.067958
Michael Hutchence,Slide Away,0.233663,0.679043,0.061665,0.040177,0.021174
Nick Drake,From the Morning,0.239766,0.630407,0.018633,0.074498,0.044183
Nick Drake,Parasite,0.026767,0.113913,0.115169,0.456224,0.03855
Nick Drake,Pink Moon,0.009383,0.480726,0.022221,0.050707,0.008128
Nick Drake,Place to Be,0.291535,0.631843,0.04209,0.011042,0.061074
Nick Drake,Road,0.195444,0.229088,0.264964,0.068563,0.102968
Nick Drake,Things Behind the Sun,0.552807,0.261543,0.116401,0.047689,0.159029
Nick Drake,Which Will,0.012489,0.801252,0.010265,0.004653,0.028675
Nicky Thomas,Have a Little Faith,0.03908,0.899185,0.021138,0.027344,0.020642
Nikolas Asimos,Bagasas,0.005016,0.913307,0.031892,0.015922,0.03688
Nikolas Asimos,Lina,0.598243,0.124705,0.223182,0.106542,0.525071
Nirvana,All Apologies,0.147811,0.710584,0.02666,0.019537,0.079366
Nirvana,Dumb,0.021163,0.884216,0.014147,0.012058,0.017561
Nirvana,Heart-Shaped Box,0.028573,0.593537,0.015606,0.011578,0.118248
Nirvana,Milk It,0.432455,0.379769,0.062374,0.185066,0.035678
Nirvana,Pennyroyal Tea,0.157401,0.34878,0.036907,0.357265,0.280818
Nirvana,Radio Friendly Unit Shifter,0.689429,0.021323,0.078819,0.703553,0.707576
Nirvana,Rape Me,0.223953,0.24649,0.288578,0.018318,0.182535
Nirvana,Serve the Servants,0.637096,0.070412,0.040997,0.105906,0.221465
Nirvana,Tourette's,0.168148,0.743316,0.048818,0.03046,0.02695
Nirvana,Very Ape,0.13372,0.548004,0.011771,0.225903,0.06243
Owsley,Be With You,0.39094,0.504746,0.124454,0.008171,0.061871
Owsley,Dirty Bird,0.095475,0.025074,0.08225,0.459191,0.054818
Owsley,Down,0.722164,0.008694,0.278267,0.120152,0.202748
