Artist,Song Title,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,label
Paramore,Ain't it Fun,0.893,28,0.61,1,0.673,0.379447,0.212864,0.230599,0.023856,0.299176,0.090771,0.863935,0.021647,0.003638,0.01027,1
Paramore,Fake Happy,0.626,28,0.734,1,0.44,0.096654,0.787256,0.068059,0.00368,0.070217,0.160564,0.065785,0.132648,0.018549,0.04022,1
Paramore,Hard Times,0.818,28,0.695,0,0.916,0.340213,0.08685,0.345391,0.033905,0.304809,0.108441,0.024459,0.033657,2.50E-05,0.000614,1
Paramore,Rose-Colored Boy,0.826,28,0.768,1,0.926,0.168012,0.007134,0.179647,0.109053,0.824636,0.676807,0.028972,0.191207,0.081549,0.087508,1
Paramore,Still Into You,0.923,28,0.602,1,0.765,0.096654,0.787256,0.068059,0.00368,0.070217,0.160564,0.065785,0.132648,0.018549,0.04022,1
Radiohead,All I Need,0.477,10,0.668,0,0.0966,0.219624,0.124622,0.335629,0.125862,0.382507,0.209165,0.019249,0.184546,0.113191,0.27897,1
Radiohead,Burn the Witch,0.847,10,0.541,1,0.62,0.256863,0.061659,0.561159,0.149559,0.281087,0.293225,0.112886,0.204392,0.070913,0.142087,1
Radiohead,Creep,0.43,10,0.515,1,0.104,0.471891,0.467768,0.104592,0.001793,0.004805,0.087257,0.004517,0.239587,0.178694,0.599232,1
Radiohead,House of Cards,0.496,10,0.71,1,0.637,0.158938,0.615518,0.05835,0.096101,0.11355,0.407106,0.115401,0.266758,0.043402,0.374808,1
Radiohead,True Love Waits,0.132,10,0.282,1,0.0379,0.015098,0.874546,0.058954,0.021597,0.049494,0.265515,0.047341,0.0885,0.0331,0.069038,1
Rihanna,Diamonds,0.709,26,0.555,0,0.387,0.035042,0.872331,0.026329,0.031114,0.015802,0.030777,0.891312,0.011899,0.005691,0.005538,1
Rihanna,Loveeeeee Song,0.251,26,0.762,0,0.529,0.70774,0.148363,0.184266,0.034246,0.069209,0.195506,0.295863,0.262328,0.024893,0.115056,1
Rihanna,Stay,0.324,26,0.619,0,0.0965,0.298373,0.057703,0.362004,0.085672,0.330887,0.371688,0.246521,0.220182,0.025462,0.102027,1
Rihanna,Wild Thoughts,0.681,26,0.613,1,0.619,0.538439,0.032449,0.140086,0.315355,0.336162,0.277755,0.515892,0.15684,0.021689,0.042574,1
Rihanna,Work,0.538,26,0.667,1,0.527,0.530959,0.535705,0.451771,0.052442,0.113913,0.473276,0.440431,0.529751,0.085386,0.109763,1
Secondhand Serenade,Awake,0.239,29,0.591,1,0.346,0.560514,0.511638,0.132964,0.048797,0.105946,0.560514,0.511638,0.132964,0.048797,0.105946,1
Sia,Big Girls Cry,0.592,30,0.469,1,0.0938,0.92989,0.025633,0.141303,0.004421,0.025224,0.891479,0.013472,0.151485,0.042976,0.092547,1
Sia,Burn the Pages,0.811,30,0.507,1,0.459,0.453566,0.026929,0.695751,0.00802,0.02819,0.26585,0.069879,0.053512,0.010391,0.037082,1
Sia,Chandelier,0.787,30,0.399,1,0.572,0.570133,0.346714,0.02062,0.023287,0.089364,0.684975,0.170931,0.103137,0.030143,0.106204,1
Taylor Swift,Blank Space,0.684,20,0.751,1,0.597,0.065982,0.638476,0.121695,0.086387,0.203889,0.177964,0.244686,0.159985,0.041198,0.531905,1
Taylor Swift,Delicate,0.41,20,0.745,0,0.0596,0.247435,0.543127,0.148934,0.024012,0.08469,0.078464,0.498204,0.05732,0.02027,0.039853,1
