Song Title,text
Misery Chain,   Take the locks and shackles and melt all of it down. Shine a light upon every shadow every acre of ground. The hidden corners on in all around Anyway you feel this misery chain should be found.    And if I should fall from the top of the world To the depths below so far below where our believe could exist. Down further still will be the one who hides the key. And there's to try to put these misery chains on me.
Murderer Of Blue Skies,   You flew in on the wind Was a day that I won't forget Told me to let you in And that I would not regret it But you had a touch as cool as rain And only once the weather changed Murderer of blue skies    Now the truth will set you free But all you had was lying in you So you built a cage for me All the while pretending to be A living saint with a thorny crown And me condemned to be your clown I applaud you as you take a bow
Nearly Forgot My Broken Heart,   Every time I stare into the sun Trying to find a reason to go on All I ever get is burned and blind Until the sky bleeds the pouring rain  When you came along the time was right Pulled me like an apple red and ripe Wasn't very long you took a bite And did me wrong and it serves me right     Every little key unlocks the door Every little secret has a lie Try to take a picture of the sun And it won't help you to see the light  Every little word upon your lips Makes a little cut where blood pours out Every little drop of blood a kiss That I won't miss not for anything 
Only These Words,   In a castle Down a long road A little girl was born To a king and To a queen and Her mothers eyes welled up with tears of joy Staring at the tiny face Of a miracle she made She would say I love you She would say I love you  Summer came and went Unrolling trees all stripped to the bone Daddys little girl in his arms well They sit upon his throne Who is that thief hiding in the dark Just a little girl who stole his heart    With only these three words repeating A simple greeting but its all you keep Clever lips can be misleading A tongue can fly away And wont come back But its only these words we recognize  6 oclock A.M The alarm rings out Awoken from the dream No more castle down a long road No more kings and no more queens But shes a princess none the less And a handsome prince is what shell get
Our Time In The Universe,   Save the dying arms of midnight For the patience and or lapse of light Cuz its our time in the universe Well I dont mind If we're blessed or cursed And its our time in the universe Yours and mine    Save the dying arms of midnight Cuz its our time in the universe Well I dont mind If we're blessed or cursed Well its our time in the universe Yours and mine  See you dont fall No matter the end See it unfold no matter the need See it fold up whatever happens to be Its what it will be Its what it will be
Through The Window,   The clouds that gathered turned to rain The candles on your sill burned out The weather on your face Turned to match the mood outside  Reading through poems that you saved That make the gloomy hours make sense Or do they lose their power With the yellowing of age    I wish that I could find a seed And plant a tree that grows so high So that I could climb And harvest the ripe stars For you and I to drink And spit the ashes from our mouths And put the grey back in the clouds And send them packing with our bags Of old regrets and sorrows 'Cause they don't do a thing but drag us down So far down The past is like a braided rope Each moment tightly coiled inside
Worried Moon,   Worried moon shining bright Can I sleep here tonight right beside you? I got a long way to go I'll be off in the morning And I hope but I don't know If she will have me back again Or only want me for a friend And leave a stain across my heart That never washes out     Nervous moon In the clouds There's a halo around your proud face And I'm glad that we're friends I might see you again Sooner or later I guess     There you are looking down I'll be here on the ground if you need me As I dream of a ghost Of a love that has died  Or maybe not but it haunts me now 
Wrong Side,   When I was just a boy of ten My father met a miners death Trapped inside through twenty nights No one made it out alive So there I was alone but free The master of my destiny And trouble found me right away My close companions since that day    At 21 I fell in love To a girl of 16 years But a jealous father ran me down Left me in the road for dead So I decided there and then Id find the car Id take revenge But the fire caught the house and fields I havent slept a whole night since
Runaway,nan
Come Little Children,   Follow us little children I'll show thee the way through all the pain and sorrows .. Weak not poor children the life is this way Murdering beauty and passion Hush now little children It must be this way to weary of life and exception Rest now my children for soon we'll away Into the calm and the quite Uh Uh Uh..
Flying Easy,   We're flying high on a velvet sky With the wind on our wings Climbing easily on the breeze    The trip is smooth and we gently glide We ride the rainbow and we see to a tee How happy it can be to be free  We float and there is no thought of time Cause were singing of love And the pleasure is so devine
I Know It's You,   Nothing feels better than my baby's arms They've around me a long time Nothing feels better than some good news Makes you glad to face the new times  I tell you nothing's better When there's no need to look 'Cause you know who's there I smile the world over  When I think of the past How we past all the test Through the good and the bad And that's why I wanna see it by now    Home is the castle you built in my mind I'm home anywhere anytime Peaceful and patience easy taken time It's so nice to have a simple mind  I tell you nothing's better When there's no need to look 'Cause you know who's there I smile the world over    No I ain't got nobody else in mind 'Cause I know it's you That's the reason I wanna stay right here 'Cause I ain't got nobody else in mind I know it's you [outro No I ain't got nobody else in mind I know it's you
I Love You More Than You'll Ever Know,   When I wasn't making much money You know where my paycheck went You know I brought it home to ya baby And I never spent a red cent yeahhhh    I'm not trying to be just any kind of man... no I ain't I'm just trying to be somebody You can love trust and understand I know I know I know that I can be A part of you that no one else could see... yeah
Lord Help Me,nan
Love love love,   Love love love why'd you take so long to come to me aww baby Love love yo love tell me where you hiding from me all the time Each time I try to find someone to take your place It was all in vain no their lips were never quite the same aww baby When I was kiss someone new deep inside I was missing you    Love love love you can't imagine what you did to me aww baby and love love your love everytime you smile it goes through me all the time Day by day I'm fallin more in love with you And thats no lie cross my heart and honey I hope to die Cuz I'm not tryin to mislead ya believe me girl I really need ya
Magdalena,   Magdalena sits in her chair speaking of the mass She talks in slicing splinters she laughs like breaking glass She says that she would have me spirit her away Stealing all my images 'til there's nothing left to say     Magdalena lying there could make a dancer stumble Make a preacher bite his tongue and leave him with a mumble And if you think I'm crazy babe or that I'm funning you Just pay your dues and lose your blues When Maggie is kissing you 
Someday We'll All Be Free,   Hang on to the world as it spins around Just don't let the spin get you down Things are moving fast Hold on tight and you will last Keep your self respect your manly pride Get yourself in gear Keep your stride Never mind your fears Brighter days will soon be here Take it from me someday we'll all be free yeah Keep on walking tall Hold your head up high Lay your dreams right up to the sky Sing your greatest song And you'll keep going going on
A Distorted Reality is Now a Necessity to be Free,"   I'm floating in a black balloon O.D. on Easter afternoon My mama told me ""Baby stay clean There's no in-between"" And all you ladies and you gentlemen Between is all you've ever seen or been Fit poorly and arrange the sight Doll it up in virgin white You disappoint me you people raking in on the world The devil's script sells you the heart of a blackbird    Sun's rising on a chopping glare Rain dropping acid bought up in the air A distorted reality is now a necessity to be free It's so disappointing First I put it all down to luck God knows why my country don't give a fuck Fuck"
A Passing Feeling,nan
Coast To Coast,   Last stop for a resolution End of the line into confusion So go go see what's there for you Nothing new Nothing new for you to use  I've got no new act to amuse you I've got no desire to use you no But anything that I could do Would never be good enough for you  If you can't help it then just leave it alone Leave it alone (Leave it alone) Yeah just forget it It's really easy I believe I'll forget it too  Still you're keeping me around 'Til I finally drag us both down (Gonna drag us both down) Pulling feathers out your hat (Throwing feathers out your hat) Yes I believe it's come to that (I believe that's where it's at) You belong tagging along And I belong in the zoo
Don't Go Down,   I met a girl snowball in hell She was hard and as cracked as the Liberty Bell I got her to come on and move in with me And I said I'd find a better place we could spend eternity     Her mama called me a thief And her dad called himself commander-in-chief I fought him off with my love But I knew the sense of worthlessness she'd have to rise above     She had a dream woke up in shock She had seen her own body outlined in chalk I split the scene the globe'd been spun And her ghost leaned down to kiss me With a message from the sun
