Song Title,text
I'm a Better Man,   I was just chilling feeling kind of bored Went to get some drink so I crept to the store Sipping cranked up leaning in my truck I saw this young freak she was fingering for my nuts She was on head with a doobie baby bootie She want to cruise the beach but I rather take her to the movies Or straight to my house yeah I like that even better So kick back relax and take off the hot sweater Let a real go getter like me the one and only Come into your life and you can be my tenderoni She said cool but that sounded kind of phony Cause back in the day she used talk to my homie But I was on a mission wasn't nothing no relationship I only wanted to dig on the one night stand yo Smooth undercover and playing my cards right Telling her that I love her but you know that was all hype Kind of like dinner and the whole nine yards Got the socko and gen out the trunk of my car Pull her a drink a little strong but smooth 30 minutes later she was all in the mood Rubbing on my chest and it was getting kind of sweaty She started undressing I mean the lesson I was ready (And nigga all I wanna know is did you knock the boots?) You know what up G she was one hundred proof Wasn't taking no short so I have to come with it First I licked her up and down putting a tape of slow jam and I hit it A night she'll never forget I made it legit And now she won't switch (Why is that?) Cause I'm a better man   [hook] I'm a better man what can a nigga do To let you know that I just want you to know Let me come inside and show you how I feel when you love me     Check it roses are red and violets are blue Me and you we go together like two and two me fucking you I'm the J to the O to the H-N-Y J-love making love to you any kind of way I wanna rock but I don't want to tie the notch J is for the way of rock and I don't stop Till the next day we can sex play Telling me you're loving every minute and that you wanna stay Thinking to yourself (Damn what should I do?) About this other busta nigga that's in love with you But I don't give a fuck cause J is on the real I'm bringing off crop I'm giving her something she can feel She might stray away but not too far A nigga like me would give her more than a dick on hard That's me the menace to freak Yo I be tossing the freak and be up all energy Radio won't play it because its X-rated Title better name but ya still can't fade it Fucking is the game and drinking is my favorite sport So Temp-T get off the freakin passport Back to the way I like a certain ho I eat them up like tootsie roll And fuck them sore till the pussy close Doing damage to your backbone All night long like Keet said your sex got it going on I know your thinking to yourself it wasn't part of the plan But that's how it's done by a better man   [hook] I'm a better man what can a nigga do To let you know that I just want you to know Let me come inside and show you how I feel when you love me
Love's the Way,   Don't you know you're the girl of my dreams? The girl love my dreams Cause I got a feeling deep in my heart That you want to be with me So let's get together And make my life better And know that you agree  [hook] Love's the way Love's the way Love's the way to live     I would do whatever it takes baby just to be your man I would climb the mountain swim the seas don't you understand That you're a very special lady And together forever we should be  [hook] Love's the way Love's the way Love's the way to live     Baby don't you know that I want you You know just one way So if you take my heart and say that I do You won't regret this day I just want to hold you lady Lemme runs my fingers through your hair Kiss me baby drive me crazy Think of all the good things we share Making lots of healthy babies And spreading them all over the world  [hook] Love's the way Love's the way Love's the way to live
Something She Can Feel,"   Damn baby can dick ya down Can I lick ya down I mean to stick around I put the duties done And the deed was fun Don't try to call me ya uh your number one hun Cause I ain't gonna be sticking like static cling You got a little bit of this ding-a-ling Now you wanna be my steady but baby I ain't ready I suggest you get the fuck out of here like fucking confetti-Spaghetti- yo you're kind stringy you tryna kick it with me baby but I'm thinkin yo you're kinda clingy And you need to stop Bitches don't understand that I like to drink a little gin and juice on the rocks And don't stop the party y'all It won't stop it don't stop on callin' ya So come on and jet on something I call the real I'm giving her something she can feel  [hook] Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something      I have a reminiscing on this dick and its lovin and huggin and kissin she don't undserstand what shes been missin so check it I know she wants to get back with the brotha But I ain't her type cause I'm a mix of a latin lover In other words I'm mixed with black But I have to take my pants off for you to see that Cause' I got inches For all you winches Make sure that you clean because' I don't like foul stenches I know it seems kinda crazy But I'm a real motherfucker and ya'll can't fade me So check it I like to kick the real I like making the bitches call me the Man Of Steel Cause I can rip them guts apart A nigga get busy when he gets in the dark  [hook] Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something      Harder goes there it's my dick Slippin' down your throat baby Suck on it quick You try to tell me you were gonna fight it I try to do it again and ya said ""Stop I'mma bite it"" Now I told you to keep on going so what's up You said that I was crazy cause' you didn't gobble nuts So I told you one time Don't even try to front Cause I gotta hundred dollar bill that says that you want To-do-it Then she did it Yea she kinda hit it Yo the hoe got with it Skeet-Skeet-Skeet goes my shit to the ceiling Like toyota baby oh what a fucking feeling I know you trippin' off the facts that I just kicked But now I gotta let you know it's over with So next time you think about me and how i feel Remember I'm giving her Something She Can Feel  [hook] Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel Something She Can Feel Something She Can Feel Something She Can Something She Can Feel"
Why You Want Me Now,   Look at this bitch at the dick Just cause I'm making these platinum hits I'm still the same nigga ho don't forget How you used to tell people Johnny J ain't shit Now you want to fucking have a baby by me You say the pussy still fresh cause you saved it for me Well if fresh means fish then you telling the truth Cause it's smells like a tuna fish died in you I know my boys fucked cause they said they did Lucky hanging with a gang of bad ass kids You try to trap me but it ain't no way You trying to get own bitch I don't play Ain't trying to get stuck with no child support I use a rubber when I fuck her I ain't going to court You didn't want me then why you want me now Are you scheming on my green trying to give me a child  [hook] Why you want me now? Why you want me now? You didn't want me then bitch why you want me now Why you want me now? Why you want me now? You didn't want me then bitch why you want me now Why you want me now? Why you want me now? You didn't want me then bitch why you want me now Why you want me now? Why you want me now? You didn't want me then bitch why you want me now      I remember when the hoes would ignore my ass Cause I didn't have a damn thing for they're ass I was broke as a motherfucking joke you see Hooking up funky tracks with Dupree Fucking around dropping hit call knocking boots Bitches starting coming out at me like prostitute (Johnny when we going out) (Johnny take me to your house) (Johnny let me take a picture with your dick in my mouth) We ain't going out and you can't see my house But my dick can be the cheese if you want to be the mouse Tell the truth tramp it's my money that you like Cause you wouldn't look my way when my ends weren't right And now that I got a big account Getting pregnant is all your ass ever thinks about You didn't want me then why you want me now Are you scheming on my green trying to give me a child (What the fuck you talking about I didn't want you then Now I want you?) Ain't that a bitch shut your punk ass up (Punk ass? Oh nigga you the one who's a punk) Bitch you ain't shit though. Stupid ass ho (Oh I don't think so sorry motherfucker) Fuck you (Fuck you...Tramp)   [hook] Why you want me now? Why you want me now? You didn't want me then bitch why you want me now      Telephone ring a bitch calls for me She wants to get toss the pussy is all for me The same funky hoe used to laugh and say (He ain't getting paid girl fuck Johnny J) Now that I'm cocking them major bucks The bitches pager me like it's pager puff I try to say no but that ass was huge When she looked just had to groove With the hood on my head I work the ho Make the slut double up on that birth control I'm not trying to have no god damn babies Got to play it safe so their ass to fade me Bringing me a kid bitch take it right back My sperm couldn't make a ugly fucker like that You didn't want me then why you want me now  [hook] Why you want me now? Why you want me now? You didn't want me then bitch why you want me now
#Hashtag,   Yes #hashtag Put his name in it and while you stay in bed (search search) Its there growing all around the room Theyre dating but I dont really care People are going crazy    Theyre pros theyre pros Talking about other people They say his personality is shit he seems like that Nah nothing special I just dont like his attitude His eyes the way he puts his hands in his pocket dont like any of it    Hey are you allowed to just say that? Who cares? Who says I cant? Yea (why should I care about him?) Yea (why should I defend him?) Im sure hell do fine
Before Our Spring,   Actually looking at you Watching over you makes me happy Just looking at you smiling Just watching over you makes me feel at peace    Actually I dont want spring to come Dont want it to get warmer Just looking at you smile from afar Makes my heart ache
Grease,   Black grease It wont come off its like you Its on your white shirt All over It even feels dirty (dirty) Yea its like you Disgustingly spread out Meeting eyes with you was my fault Its my fault that I didnt know about myself    I did nothing wrong If I had to choose its that I got to know you I was crazy I tried to make things right But whats so good about you? What do I have to lose? After I met you I only regret If I had the chance to erase it all I wish I could beg the kids who know you So I dont have to know you anymore Crazy crazy I was crazy I want to turn it all back
Im So Curious,   Im looking at your eyes they shine so black Dont move I wanna place you completely in my head I dont wanna be bland I wanna hold your hand  The back of your neck your ant waist I wanna see everything from up close Im getting greedy I wanna see everything closely I wanna get to know you  When I meet eyes with you When your hands brush against mine I get sad because I wish for one more second Put your skin on me dont take it away    Dont get away from me dont go far away Im like a puppy left alone Im trembling I dont know what to do Isnt it sad?  Take care of me baby care about me Its always me like this youre always so relaxed baby Im looking at you but your legs are so pretty (I cant snap out of it)  When I meet eyes with you When your hands brush against mine I get sad because I wish for one more second Put your skin on me dont take it away    Im sure its awkward I feel it too (still) Dont back away dont run away Put your feet on my feet Your hands on my waist put them there (Woo woo) stay chill baby Relax lady Feel this vibe trust me (babe)
Just for a day,   Donât do this you keep appearing Itâs over itâs all in the past I open my eyes I close them But even in my dreams itâs you    Iâm not in your today anyway You know that I canât go on for a single day Even when Iâm drunk and swaying and want to lean I canât
Only One You Need,   The fingertip facing me Im still afraid. I know its full I understand it because it is you too oh Two eyes clear reason Reasons why the bottom of the ear lobe was hot Mood at ones fingertips    Im trying to please you right here I just gotta blow oh You and I are missing that piece I wanna be the only one The only one you need Its always beautiful. It seems to collapse. It soon shines like an explosion. The more uneasy the more Even if the whole body is torn and scattered I will not cover everything. I got you here I blew you. Its okay.    You and I are missing that piece I wanna be the only one The only one you need I can not wait for you Disturbed form looks dangerous yeah Yeah relax let me do it. I can not just look at you like me.
Rewind,   Whatever I do time passes Im tired let me get a glass of water Whatever I do time passes Im tired theres something on the floor Whatever I do time passes Its wet I should clean it up Whatever I do my eyelids are heavy Ill be alert so you focus too    Whatever I do time passes One more drink Im so out of it Whatever I do time passes My right shoulder is stiff Whatever I do time passes Whatever you say Whatever I do Whatever you say
Sentimental,   When I quietly close my eyes It feels like youre quietly next to me Sadly when my heart droops Feels like youll pat my shoulders    When I see myself eating when I see myself taking care of my body I think whats the point? But when I see you smiling Im shook Maybe its just my mood    When I quietly close my eyes It feels like youre quietly next to me Sadly when my heart droops Feels like youll pat my shoulders    I havent really changed either Im sure youre still the same too Its not like I wanna go back Not like I miss you but
Shinin',   No matter how I look my hands and feet do not speak. Yes the eyes are far away. Oh girl (Down) Come on in my Around The moment I met my eyes my body my arms legs stopped Body I'm into you girl (Nobody nobody)    I am blinded by the white color of the halo I do not know what to do (close) I do not think there is anything on Earth Only you (You you) Oh please know me more slowly Oh show me a little more (Show me) Oh baby    Dazzle everything that touches your hand It 's shining white again Yeah (Do not be shy) It's amazing to know you. When your eyes look at me there is more light
Sightseeing,nan
Take The Dive,   When my small world met yours Then the waves arose Just one laugh Colors in my once colorless heart I will take the dive The strange tide feels deeper today Singing na na na na na I hesitated for a second Then Im diving    Let me loose in your ocean So I can only be filled with you I wanna know you From your surface to the other side of the ocean oh I
A Means to an End,   A legacy so far removed One day will be improved Eternal rights we left behind We were the better kind Two the same set free too     We fought for good stood side by side Our friendship never died On stranger waves the lows and highs Our vision touched the sky Immortalists with points to prove     A house somewhere on foreign soil Where ageless lovers call Is this your goal your final needs Where dogs and vultures eat Committed still I turn to go  
Atrocity Exhibition,   Asylums with doors open wide Where people had paid to see inside For entertainment they watch his body twist Behind his eyes he says 'I still exist.'     In arenas he kills for a prize Wins a minute to add to his life But the sickness is drowned by cries for more Pray to God make it quick watch him fall     You'll see the horrors of a faraway place Meet the architects of law face to face See mass murder on a scale you've never seen And all the ones who try hard to succeed     And I picked on the whims of a thousand or more Still pursuing the path that's been buried for years All the dead wood from jungles and cities on fire Can't replace or relate can't release or repair Take my hand and I'll show you what was and will be
Colony,   A cry for help a hint of anesthesia The sound from broken homes We used to always meet here As he lays asleep she takes him in her arms Some things I have to do but I don't mean you harm     A worried parent's glance a kiss a last goodbye Hands him the bag she packed the tears she tries to hide A cruel wind that blows down to our lunacy And leaves him standing cold here in this colony     I can't see why all these confrontations I can't see why all these dislocations No family life this makes me feel uneasy Stood alone here in this colony In this colony in this colony in this colony in this colony 
Decades,   Here are the young men the weight on their shoulders Here are the young men well where have they been? We knocked on the doors of Hell's darker chamber Pushed to the limit we dragged ourselves in Watched from the wings as the scenes were replaying We saw ourselves now as we never had seen Portrayal of the trauma and degeneration The sorrows we suffered and never were free     Weary inside now our heart's lost forever Can't replace the fear or the thrill of the chase Each ritual showed up the door for our wanderings Open then shut then slammed in our face 
Heart and Soul,   Instincts that can still betray us A journey that leads to the sun Soulless and bent on destruction A struggle between right and wrong You take my place in the showdown I'll observe witha pitiful eye I'll humbly ask for forgiveness A request well beyond you and I     An abyss that laughs at creation A circus complete with all fools Foundations that lasted the ages Then ripped apart at their roots Beyond all this good is the terror The grip of a mercenary hand When savagery turns all good reason There's no turning back no last stand     Existence well what does it matter? I exist on the best terms I can The past is now part of my future The present is well out of hand The present is well out of hand 
Isolation,   In fear every day every evening He calls her aloud from above Carefully watched for a reason Painstaking devotion and love Surrendered to self preservation From others who care for themselves A blindness that touches perfection But hurts just like anything else     Mother I tried please believe me I'm doing the best that I can I'm ashamed of the things I've been put through I'm ashamed of the person I am     But if you could just see the beauty These things I could never describe These pleasures a wayward distraction This is my one lucky prize 
Love Will Tear Us Apart,   When routine bites hard And ambitions are low And resentment rides high But emotions won't grow And we're changing our ways taking different roads     Why is the bedroom so cold? You've turned away on your side Is my timing that flawed? Our respect runs so dry Yet there's still this appeal That we've kept through our lives     You cry out in your sleep All my failings exposed And there's a taste in my mouth As desperation takes hold Just that something so good Just can't function no more  
Passover,   This is a crisis I knew had to come Destroying the balance I'd kept Doubting unsettling and turning around Wondering what will come next Is this the role that you wanted to live? I was foolish to ask for so much Without the protection and infancy's guard It all falls apart at first touch     Watching the reel as it comes to a close Brutally taking it's time People who change for no reason at all It's happening all of the time Can I go on with this train of events? Disturbing and purging my mind Back out of my duties when all's said and done I know that I'll lose every time     Moving along in our God given ways Safety is sat by the fire Sanctuary from these feverish smiles Left with a mark on the door Is this the gift that I wanted to give? Forgive and forget's what they teach Or pass through the deserts and wastelands once more And watch as they drop by the beach This is the crisis I knew had to come Destroying the balance I'd kept Turning around to the next set of lives Wondering what will come next
The Eternal,   Procession moves on the shouting is over Praise to the glory of loved ones now gone Talking aloud as they sit round their tables Scattering flowers washed down by the rain Stood by the gate at the foot of the garden Watching them pass like clouds in the sky Try to cry out in the heat of the moment Possessed by a fury that burns from inside     Cry like a child though these years make me older With children my time is so wastefully spent A burden to keep though their inner communion Accept like a curse an unlucky deal Played by the gate at the foot of the garden My view stretches out from the fence to the wall No words could explain no actions determine Just watching the trees and the leaves as they fall
Twenty Four Hours,   So this is permanence love-shattered pride What once was innocence turned on its side A cloud hangs over me marks every move Deep in the memory of what once was love     Oh how I realised how I wanted time Put into perspective tried so hard to find Just for one moment thought I'd found my way Destiny unfolded I watched it slip away     Excessive flash points beyond all reach Solitary demands for all I'd like to keep Let's take a ride out see what we can find A valueless collection of hopes and past desires     I never realised the lengths I'd have to go All the darkest corners of a sense I didn't know Just for one moment I heard somebody call Looked beyond the day in hand there's nothing there at all     Now that I've realised how it's all gone wrong Gotta find some therapy this treatment takes too long Deep in the heart of where sympathy held sway Gotta find my destiny before it gets too late
"The Endless Enigma Suite, Pt. 1",    Why do you stare? Do you think that I care? You've been misled By the thoughts in your head  Your words waste and decay Nothing you say Reaches my ears anyway  You never spoke a word of truth      Why do you think I believe what you said? Few of your words Ever enter my head  I'm tired of hypocrite freaks With tongues in their cheeks Turning their eyes as they speak  They make me sick and tired       I ruled all of the earth Witnessed my birth Cried at the sight of a man And still I don't know who I am       I've seen paupers as kings Puppets on strings Dance for the children who stare You must've seen them everywhere
"The Endless Enigma Suite, Pt. 2",   Each part was played Though the play was not shown Everyone came But they all sat alone  The dawn opened the play Waking the day Causing a silent hooray The dawn will break another day  Now that it's done Are we going to see the reason why I'm here
Get Up(with Common Ground),"   during the middle of the dark night i'm just standing. i can't even see in front of me to where i should go where would it be even if i look around me it's no use. in the river waters that is life endlessly as i float around like the floating plants (another translation is ""mulch""; basically the plant matter floating on the water surface) and when i touch some peaceful lake shore i will probably rot with the water.     between the endless words me and you are getting weary with another kind of action with another kind of word we console ourselves the more acknowledgement the novelty gets further and further away just going back and forth like a pendulum"
Where the Wind Rises(with Hareem),   Iâm going to the place the place where the wind blows To under the tree thatâs like your hair    Even if I get stopped by the rolling waves iâll look at the horizon To the place where the sun smiles; Iâm going to that place.  The place where the leaves beckon for me Iâm going to that place. As I walk and whistle I think of you.
Alt-Land-Is,   As the aksel of the planet (plan-et) was in its right Position straight all the planet was under stable Tropical climate. So was also Odenmaa at the north pole.  There lived the Asers who held the highest knowledge On earth with the ROT (root) -language. Outside Odenmaa lived the vaners in their ringlands.  Everybody paid respect to Per who due to the Breeding system was the allfather of all mankind (Everyone is a PER-SON)  Over 50 milj. 10000 years ago the aksel of the planet Shifted and caused the ice age when the ringlands Outside were covered by ice a period called
Another Piece of Cake,   In all headlines of the day N'wonder what these papers want to say With news that only take you away From your own thoughts in new taxes to pay As long as these people don't smile All these news are just a waste of time So no use for you to hesitate 'cause in the end you're just another piece of cake
For All Mankind,"   We all know this worlds' going through some big changes It gets to the point where all phenomenon seem crazy People start looking for ways to live outside From the system that makes them all so blind Some try to find new fields to explore from outside Their heads some go in there and find that The richness of life is so easy to multiply Just by throwing away all the thoughts that keep us From learning to know the personality That lives inside us And tries to come out But facing it is the key to unwind From closing yourself as the surroundings provide    One day we will say goodbye To all of them who live the time No more need to compromise No more questions: ""tell me why"" This balanced heart needs no disguise But shamen seeds for all mankind The shamen seeds for all mankind"
"I'm the King, I'm the Sun","   ""Just do it boy No matter what you're up to  I'm telling you just do it boy""   ""I'll take care o' things up here  So you don't take the other way  I'm your captain relief I give light  And I let you play"" "
Party Goes On,   One day I'll finish everything that I have begun One day I'll explain h yes and you will understand Work now and rest later rest now and work later on? One day is someday but now I will have to go on Before it's over
Take You to Sweet Harmony,   As I hear you complain 'bout your life makes me Wonder if you'll get love tonight You have chosen everything I say all the time You had the alternate way Everything's wrapped together it seems all the Rights and resposabilites
The Real Thing,   She takes a drink and stands You just can't take your eyes of her bigure She laughs with her friend who ain't a man Now you're getting so so eager It's time to try your luck again But remember what I say    You tell her something sweet for starters Already you know it didn't sound too good You start to dream about her caress 'n' Try so hard to get her hooked You proove yourself but she looks away Remember what I said    She's the swan (s-van) where we all come from The most beautiful and healthy one*  Give the Lady but be sincere She'll give you much of what you need  Take her as a self-evidence You know she'll slap you in your face  And as the gardeners of this plan (-et) I think by now we all understand (stand under?)  The two of a kind they need a rest Remember what I said:
Time,nan
Welcome to the Mirrorland,nan
Better Than Shit,   Everyone's a liar and I think I'm burning out it seems like life just ends the same way it begins so many die with nothing and so few ever win. And you can tell me what you want you can scream or even cry but if it passes through your leps I'm gonna know that it's a lie. Suppression creates depression so let your thought flow free just open up your mind and I promise you will see. Stay within the lines stel your spine make up your mind you're just like all the rest and you're wating my time.
For What It's Worth,   There's something happening here What it is ain't exactly clear. There's a man with a gun over there Telling me I've got to beware.    Paranoia strikes deep Into your heart it will creep. It happens when you're always afraid Step out of line and the man come to take you away.    It's time we stop hey what's that sound? Everybody look what's going down. Stop hey what's that sound? Everybody look what's going down.
No Such Thing,   In those streets I stumble over cracked concrete running in circles on tired feet. I'm sick of all this hatred it does no one no good if I could change the world you fucking bet I would. We are the new school its up to us to change the way things are to make things better. Fuck separatism we have to unite at all costs. Unconditional acceptance of people into our lives and scenes is the only way. Race age sex religion what you wear what music you like who you fuck... none of it matters. The adult society infested with snobbery and violence should bear no reflection on our underground. Instead of turning our backs to the new kids wanting to learn about our scenes we should teach them how it should be.
Packing Up,   Living a life governed by pain I step away from the fire but I carry the flame. My youth I'm proud I wear it on my sleeve my faceless generation's gonna make you see.    Remember the times of harmony and how I want them back wait until the time is right and then we will attack pride honor I wear it on my sleeve my faithless generation's gonna make you see.    Watch it all fall down around you while you sit safe at home we're packing up and moving on and you'll be left alone. The carefree world that used to be has fallen out of sight I want to take it back but it's going to be a fight.
The Truth of It,   No one could have helped you cause you never even thought you tried to run away from time but now you've gotten caught. I knew who you once were and watched you lose everything a sad and broken drunk who used to be a king    I'll try not to be selfish and only think of me but I've got too many problems to dwell inside your tragedy youth can last forever because age is in your head but you are neither young nor old; you're already dead. I'm not gonna do that
Halfway Right,"   I scream at myself when there's nobody else to fight I don't lose I don't win if I'm wrong then I'm halfway right Used to get high with the dead end kids Abandoned houses where the shadows lived I never been higher than I was that night I woke up driving my car I couldn't see then what I see right now The road dissolving like an empty vow Couldn't remember where I'd been that night I knew I took it too far     Told me ""Kid you're going way too fast You burn too bright you know you'll never last"" It was bullshit then I guess it makes sense now I woke up driving my car Said I'd lose you if I lost control I just laughed because what do they know? Here I am standing all alone Because I took it too far  "
Heavy (feat. Kiiara),   I dont like my mind right now Stacking up problems that are so unnecessary Wish that I could slow things down I wanna let go but theres comfort in the panic And I drive myself crazy Thinking everything's about me Yeah I drive myself crazy 'Cause I cant escape the gravity     You say that I'm paranoid But Im pretty sure the world is out to get me Its not like I make the choice To let my mind stay so fucking messy I know I'm not the center of the universe But you keep spinning 'round me just the same I know I'm not the center of the universe But you keep spinning 'round me just the same  
A Very Good Thing,   Do you remember the time I remember the time Like a boyhood nursery rhyme Just a voice inside my head Trying to get out  Do you remember the way Well I remember the way Like a night turned into day Well I dressed you up And your mother threw you back down    Do you remember the voice Yeah I remember the voice And it gave me no choice It was several of them And I had to take one out  I remember the time Yeah I remember the time Like a high school nursery rhyme And I pushed you in And I pushed you down 
Kim the Waitress,   Pursed lips and tender hips Turning in my head Writing poems in a corner booth That I'd die if she read Seeing her in but a silver cross Lying on her bed    Sometimes she comes with coffee Leaning over pouring I'd like to gently pull her to me Kiss her with no warning Seeing her some sunny Sunday morning    Though I don't stand a ghost of a chance with her She's pretty (and that bothers me) So pretty (and that bothers me) And it bothers me
She's Goin' Thru My Head,   She's got a brand new car We're playin the radio way too loud Wants me to grow to be some kind of cult star There's too much time for that right now    She's playin my very most favourite sweet record And her dad just loves my long brown hair He's buyin me a brand new leather jacket man! I dont remember what it was like to care
A Straight Line,   Yeah we're just watching history Now that the dogs are barking Take a picture for your children Make it real in FujiColor Life in the junkyard's hard Even when the dogs are sleeping But if you win you lose the next spin Madame monsieurs rien ne va plus    Wave goodbye to your innocence Sell it to the highest bidder In a tight spot call for assistance Is that American Express? Get me out of here 
All I'm Saying,   Kept you protected from things Did you ever think about it  Did you ever cry about it  Would you ever ever doubt it     I put my heart  With trust  Into your hands  One day changes come      We search endlessly  For answers to war and pain  We love the nights  Some days we laugh feel like it's alright 
Baby It's Alright,   Look at the mess I'm makin'  Look at that mess across your face (across your face)  As bitterness started showin'  Five years no-one hears just another night too scared to bleed     Give you some time to feel it;  I tangled you up in flesh and blood  Just to scared of where I took you  Spotlight blue to red crashin' in your head 
Breathe,   She got the future wrapped up inside her  Every day without her feels like a crime     Ow! Baby come closer whisper your secrets I'll tell you yours if you tell me mine  Well here comes the reason deep in your nature  We're creatures always trying to prove love     She got the future wrapped up inside her  Every day without her feels like a crime     She got the future wrapped up inside her  Every day without her feels like a crime  He wants to show her over and over  The way two people turn into one aow!
Don't Save Me from Myself,   I'm not keeping time get me outta here  Folding up my crimes ready for what's said to me  Does all that glitters shine? Love that new attraction  Animal inside leads me to the conclusion    I listen to the wind and mystery comes alive  Don't tie me up again separate love from possession  Does all that glitters shine? Love that new attraction  Animal inside leads me to the conclusion ugh! 
Fear,   I'm not preaching 'cause I'm full of sin  Nothing's secret that I have not done  Alone with your situation     Take the silver: I've paid that price  Here's the scandal   They don't let the truth get in the way  Alone with your situation     There are some things that we know will never change  Don't you worry don't you look away 
Flesh and Blood,   Trip away the bones and skin looking for what lies within  See the stars so cold above  Makes no sense of your flesh and blood  You walked the longest walk talked the toughest talk  You were outside something inside  Took away the words you want to hear again  You were outside something inside    Strip away the bones and skin show me what lies within  Would you be the one that I love?  Make no sense of your flesh and blood  You walked the longest walk talked the toughest talk  You were outside something inside  Took away the words you want to live again  You were outside something inside 
Get on the Inside,   I will never let your words be washed away  There are oceans to be named by you  Inside we lay in the shadows  Outside they push the skin parade   All the streets have turned from red to blue  It's probably gonna stay that way  Don't let me go and stop you  If you're looking for a better view    Are we gonna kill the things that mean the most  As a junkie is a jailer too  We're gonna recognize the faces  If we're searching for the life we blew   All the streets have turned from red to blue  It's probably gonna stay that way  Don't let me go and stop you  If you're looking for a better view    All you people talking so lonely  Making plans that your daddy wanted  Setting it up for the biggest falling  How you gonna learn learn to fake it?   Having trouble with the dirty make-up  Never gonna learn what you're running from  Acting like the world just owes you  Looking for love in all the wrong places
Let Me Show You,   This shattered town gets me down  My ticket's booked then you were found  I tore them up like you tore my heart  I'm black and blue from love and art  Who could take it? (Give it up gimme)     Well through the twilight how I've tried  To get my thoughts deep in your mind  In my sleep I've tasted you  Intoxicated by your every move  Who could take it? (Give it up gimme) 
Possibilities,   It's so strange  How my life's changed  I know nothing  About the people that I touched  Heard a story  It sounded easy  If you don't care     I'm so alive  If you told me  Nothing's perfect  Hearts are broken  Nothing's free    I will show you  Why it's worth it  And that's the way that it's meant to be  If you told me  Nothing's perfect   Hearts are broken  Nothing's free  I could show you  Why it's worth it  That's the way that it's meant to be  Heard a story  It sounded easy  Got a new skin and 
Put the Pieces Back Together,   Nothing gonna get me crying out for more  Seen nothing to seduce me Seen it all before  He's another leader Pretty head on the block  Got another axe to grind   If the dust ain't hard  Can he taste the money dripping off the tongue  All is fair in love and war  With a cold heart and a smoking gun     Every moment back together  In your quiet moments  Looking back in tears  Can I count the nights you've lived  That you'd live again  Looking for the real thing to even up the score  Finding out you're lonely  With an open door 
She Flirts for England,   She comes to the party on a kiss don't tell pony  And lets me have the first of her sighs  Tricks came so easy but you know she keeps your secrets  The tracks of the tears she will hide  Oh voices calling for the secrets we hide 
Slide Away,   Oh babe I don't wanna deal it  Oh make it alright  Gimme some my love  Away away away     I would catch you (Just couldn't let you go)  I'd catch you as you fall (Just couldn't let it go)  I would catch you (Just couldn't let you go)  I'd catch you if I heard your call  But you tore a hole in space Like a dark star falls from grace  You burn across the sky  And I would find you wings to fly  And I would catch you  I would catch your fall 
From the Morning,   A day once dawned And it was beautiful A day once dawned From the ground Then the night she fell And the air was beautiful The night she fell All around     And now we rise And we are everywhere And now we rise From the ground See she flies And she is everywhere See she flies All around
Parasite,   Lifting the mask from a local clown Feeling down like him Seeing the light in a station bar And travelling far in sin Sailing downstairs to the northern line Watching the shine of the shoes Hearing the trials of the people there Who's to care if they lose?     Dancing a jig in a church with chimes A sign of the times today Hearing no bell from the steeple tall People all in dismay Falling so far on a silver spoon Making the moon for fun Changing a robe for a size too small People all get hung 
Pink Moon,   I saw it written and I saw it say Pink moon is on its way And none of you stand so tall Pink moon gonna get ye all     I saw it written and I saw it say A pink moon is on its way And none of you stand so tall Pink moon gonna get ye all 
Place to Be,   When I was young younger than before I never saw the truth hanging from the door And now I'm older see it face to face And now I'm older gotta get up clean the place  And I was green greener than the hill Where flowers grew and the sun shone still Now I'm darker than the deepest sea Just hand me down give me a place to be  And I was strong strong in the sun I thought I'd see when day was done Now I'm weaker than the palest blue Oh so weak in this need for you
Road,   You can say the sun is shining if you really want to I can see the moon and it seems so clear 
Things Behind the Sun,   Please beware of them that stare They'll only smile to see you while your time away And once you've seen what they have been To win the earth just won't seem worth your night or your day Who'll hear what I say?     Look around you'll find the ground Is not so far from where you are but don't be too wise For down below they never grow They're always tired and charms are hired from out of their eyes Never a surprise     Don't be shy you learn to fly And see the sun when day is done if only you see Just what you are beneath a star That came to say one rainy day in autumn for free Yes be what you'll be
Which Will,   Which will you go for? Which will you love? Which will you choose from From the stars above? Which will you answer? Which will you call? Which will you take for For your one and all?     Which do you dance for? Which makes you shine? Which will you choose now If you won't choose mine? Which will you hope for? Which can it be? Which will you take now If you won't take me? 
