Artist,Song Title,anger,joy,fear,sadness,surprise
Michael Hutchence,Slide Away,0.22093985970000002,0.0469175391,0.4697747231,0.1489850581,0.11338280140000001
Nick Drake,From the Morning,-1,-1,-1,-1,-1
Nick Drake,Parasite,-1,-1,-1,-1,-1
Nick Drake,Pink Moon,-1,-1,-1,-1,-1
Nick Drake,Place to Be,-1,-1,-1,-1,-1
Nick Drake,Road,-1,-1,-1,-1,-1
Nick Drake,Things Behind the Sun,-1,-1,-1,-1,-1
Nick Drake,Which Will,-1,-1,-1,-1,-1
Nicky Thomas,(Baby) I can change my mind,-1,-1,-1,-1,-1
Nicky Thomas,Have a Little Faith,-1,-1,-1,-1,-1
Nikolas Asimos,Bagasas,-1,-1,-1,-1,-1
Nikolas Asimos,I don't want you to cry my heart,-1,-1,-1,-1,-1
Nikolas Asimos,Lina,0.1502549797,0.0056650201,0.4057194591,0.4301391244,0.0082214382
Nirvana,All Apologies,-1,-1,-1,-1,-1
Nirvana,Dumb,-1,-1,-1,-1,-1
Nirvana,Heart-Shaped Box,-1,-1,-1,-1,-1
Nirvana,Milk It,-1,-1,-1,-1,-1
Nirvana,Pennyroyal Tea,-1,-1,-1,-1,-1
Nirvana,Radio Friendly Unit Shifter,-1,-1,-1,-1,-1
Nirvana,Rape Me,-1,-1,-1,-1,-1
Nirvana,Serve the Servants,-1,-1,-1,-1,-1
Nirvana,Tourette's,0.1265327483,0.2293057442,0.19237986210000002,0.1538449228,0.2979366779
Nirvana,Very Ape,-1,-1,-1,-1,-1
Owsley,Be With You,-1,-1,-1,-1,-1
Owsley,Dirty Bird,-1,-1,-1,-1,-1
Owsley,Down,-1,-1,-1,-1,-1
Owsley,Dude,-1,-1,-1,-1,-1
Owsley,Matriarch,0.37719327210000003,0.1231590137,0.058766748800000004,0.40008834,0.0407926328
Owsley,Rise,-1,-1,-1,-1,-1
Owsley,She's the One,-1,-1,-1,-1,-1
Owsley,The Hard Way,0.3522286415,0.0720303208,0.041247256100000004,0.4897815287,0.0447121859
Owsley,Undone,-1,-1,-1,-1,-1
Phil Ochs,Chords Of Fame,-1,-1,-1,-1,-1
Phil Ochs,I Ain't Marching Anymore,-1,-1,-1,-1,-1
