Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse
Material Issue,Kim the Waitress,0.240658,0.564863,0.130713,0.038981,0.108829
Material Issue,She's Goin' Thru My Head,0.076373,0.829302,0.008171,0.04596,0.058193
Michael Hutchence,A Straight Line,0.661841,0.102076,0.106755,0.251952,0.059793
Michael Hutchence,All I'm Saying,0.446246,0.486385,0.061346,0.022756,0.023825
Michael Hutchence,Baby It's Alright,0.135363,0.010587,0.914667,0.058999,0.066664
Michael Hutchence,Breathe,0.144716,0.664877,0.020398,0.086942,0.141607
Michael Hutchence,Don't Save Me from Myself,0.210319,0.704581,0.027728,0.022736,0.048428
Michael Hutchence,Fear,0.557711,0.07512,0.095104,0.319113,0.224441
Michael Hutchence,Flesh and Blood,0.705152,0.033663,0.234323,0.141121,0.1726
Michael Hutchence,Get on the Inside,0.68142,0.04407,0.155721,0.119917,0.301087
Michael Hutchence,Let Me Show You,0.623823,0.290663,0.075285,0.016844,0.080757
Michael Hutchence,Possibilities,0.035255,0.846499,0.016996,0.028224,0.091718
Michael Hutchence,Put the Pieces Back Together,0.514745,0.395871,0.048346,0.074605,0.064766
Michael Hutchence,She Flirts for England,0.288712,0.536136,0.133747,0.009535,0.104669
Michael Hutchence,Slide Away,0.668278,0.07478,0.379628,0.035785,0.030107
Nick Drake,From the Morning,0.09413,0.698839,0.164126,0.064712,0.029126
Nick Drake,Parasite,0.384674,0.526892,0.026123,0.056898,0.047036
Nick Drake,Pink Moon,0.079012,0.561225,0.128174,0.228709,0.062936
Nick Drake,Place to Be,0.370682,0.471549,0.132857,0.019395,0.110395
Nick Drake,Road,0.301809,0.609451,0.070097,0.021167,0.046026
Nick Drake,Things Behind the Sun,0.078991,0.81068,0.053022,0.020832,0.036635
Nick Drake,Which Will,0.065596,0.653016,0.035918,0.022096,0.037614
Nicky Thomas,Have a Little Faith,0.246966,0.712706,0.022874,0.015995,0.016503
Nikolas Asimos,Bagasas,0.803112,0.016881,0.202618,0.074182,0.175871
Nikolas Asimos,Lina,0.6396,0.686809,0.128118,0.086153,0.526718
Nirvana,All Apologies,0.391918,0.004248,0.272035,0.192433,0.522322
Nirvana,Dumb,0.532627,0.278146,0.077875,0.020064,0.22639
Nirvana,Heart-Shaped Box,0.749541,0.017626,0.178538,0.2639,0.089888
Nirvana,Milk It,0.159858,0.020795,0.068523,0.55233,0.548146
Nirvana,Pennyroyal Tea,0.62073,0.117862,0.086663,0.090222,0.313067
Nirvana,Radio Friendly Unit Shifter,0.440672,0.059794,0.213558,0.142006,0.486377
Nirvana,Rape Me,0.08972,0.007008,0.06278,0.65422,0.53828
Nirvana,Serve the Servants,0.690747,0.007048,0.218637,0.107238,0.321022
Nirvana,Tourette's,0.311671,0.461854,0.245029,0.010684,0.0252
Nirvana,Very Ape,0.389687,0.256514,0.034223,0.233406,0.19478
Owsley,Be With You,0.47012,0.455504,0.053662,0.003529,0.091756
Owsley,Dirty Bird,0.184777,0.705497,0.049556,0.016908,0.07537
Owsley,Down,0.656801,0.042781,0.217052,0.030587,0.334483
Owsley,Dude,0.296622,0.341396,0.111241,0.219863,0.18903
Owsley,Matriarch,0.1544,0.64239,0.110089,0.02365,0.114884
Owsley,Rise,0.506958,0.007341,0.555567,0.070571,0.208263
Owsley,She's the One,0.675372,0.117309,0.247215,0.042176,0.152971
Owsley,The Hard Way,0.322269,0.101365,0.19394,0.284161,0.127133
Owsley,Undone,0.194958,0.693048,0.071702,0.032273,0.040299
Phil Ochs,Chords Of Fame,0.332246,0.419667,0.301418,0.049352,0.050576
Phil Ochs,I Ain't Marching Anymore,0.212386,0.359049,0.435177,0.014927,0.142036
Phil Ochs,Tape From California,0.388719,0.03842,0.229954,0.149189,0.561999
Phil Ochs,The Pleasures of the Harbor,0.336397,0.515628,0.105833,0.046533,0.08842
Reagan Youth,(Are You) Happy,0.023144,0.670756,0.591118,0.025475,0.065194
Reagan Youth,Anytown,0.526313,0.018594,0.293122,0.149542,0.387201
Reagan Youth,Degenerated,0.20354,0.130533,0.033405,0.265739,0.619473
Reagan Youth,Go Nowhere,0.746986,0.065488,0.057666,0.131637,0.242421
