Song Title,text
Josephine,  My sweet Josephine Wont you come and marry me? I got every kind of love that you would ever need Dying here on bended knees   My sweet Josephine Wont you come and marry me? I got every kind of love that you would ever need Dying here on bended knees   My sweet josephine Wont you come and marry me? I got every single kind of love that you would ever need Dying here on bended knees Dying here on bended knees Dying here on bended knees My Josephine
Let Your Eyes Wander,  So let your eyes wander Wild and free Sooner or later You will look back To me   So let your eyes wander The moment you think You see something better Better than me So let your eyes wander Wander away And Ill look no further You will come back one day   So let your eyes wander Wander away Your heart is young And longing to stray Let your eyes wander Wild and free Sooner or later They will look back They will look back They will look back To me
Misery Chain,  When we're gone and it's all said and done. What will we leave. Stories told will they speak of us when God only knows That those word will be.   When we're gone and it's all said and done. What will we leave. Stories told will they speak of us when God only knows That those word will be.
Murderer Of Blue Skies,  I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you again   I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you   I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend   I can't wait To never be with you again And I can't wait To lead a life that you're not in And I won't break Though I may bend From time to time I can't wait to never be with you again I can't wait to never be with you again
Nearly Forgot My Broken Heart,  And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again Again    And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again    And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again And I nearly forgot my broken heart It's taken me miles away From the memory of how it broke apart Here we go 'round again 
Only These Words,  He would say I love you He would say I love you He would say I love you    He will say I love you He will say I love you He will say I love you He will say I love you He will say I love you
Our Time In The Universe,  Breathing Beneath miles of earth and sky And in sunlight I will appear before your eyes So dont worry On what tomorrow holds for you Ill be waiting At the end of every road you choose
Through The Window,  I saw you suffering Through a foggy window in the rain When you thought no one was watching yeah Going through your memories Like so many prisons to escape And become someone else With another face And another name No more suffering   I saw you suffering Through the yellow window of a train With everybody watching yeah Too tired for imagining That you could ever love somebody else From somewhere far away From another time And another place With another life And another face And another name And another name No more suffering.
Worried Moon,  Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon    Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon  Looking up you are gone I got into the city at midnight All these eyes looking on Make me blind or put me down And the noise just drowns me out   Worried moon I'm afraid of what's to come Worried moon Yeah tell me what you know Worried moon You see further down the road Worried moon
Wrong Side,  And Im on the side of the road again Im on the wrong side my friend Whichever way the wind is blowing No matter where the river bends I'm on the side of wrong again   And Im on the side of wrong again Im on the wrong side my friend Whichever way the wind is blowing No matter where the river bends Im on the side alone again Im on the side of wrong again   And Im on the side of the road again Im on the wrong side my friend Whichever way the wind is blowing No matter where the river bends Im on the side alone again Im on the side of wrong again Im on the side of wrong again
