Artist,Song Title,verse,chorus
Drake,God's Plan,"[verse] I been movin' calm don't start no trouble with me Tryna keep it peaceful is a struggle for me Don't pull up at 6 AM to cuddle with me You know how I like it when you lovin' on me I don't wanna die for them to miss me Yes I see the things that they wishin' on me Hope I got some brothers that outlive me They gon' tell the story shit was different with me  [verse] She said ""Do you love me?"" I tell her ""Only partly"" I only love my bed and my momma I'm sorry Fifty Dub I even got it tatted on me 81 they'll bring the crashers to the party And you know me Turn the O2 into the O3 dog Without 40 Oli there’d be no me Imagine if I never met the broskies ",[chorus] God's plan God's plan I hold back sometimes I won't yuh I feel good sometimes I don't ayy don't I finessed down Weston Road ayy 'nessed Might go down a G.O.D. yeah wait I go hard on Southside G yuh wait I make sure that north-side eat  [chorus] God's plan God's plan I can't do this on my own ayy no ayy Someone watchin' this shit close yep close I've been me since Scarlett Road ayy road ayy Might go down as G.O.D. yeah wait I go hard on Southside G ayy wait I make sure that north-side eat yuh
Drake,Hotline Bling,[verse] Ever since I left the city you Got a reputation for yourself now Everybody knows and I feel left out Girl you got me down you got me stressed out ‘Cause ever since I left the city you Started wearing less and goin' out more Glasses of champagne out on the dance floor Hangin' with some girls I never seen before  [verse] Ever since I left the city you you you You and me we just don't get along You make me feel like I did you wrong Going places where you don't belong Ever since I left the city you You got exactly what you asked for Running out of pages in your passport Hangin' with some girls I've never seen before ,[chorus] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing  [chorus] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing  [chorus] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing
Drake,One Dance,[verse] Grips on your waist front way back way You know that I don't play Streets not safe but I never run away Even when I'm away Oti oti There's never much love when we go OT I pray to make it back in one piece I pray I pray  [verse] Strength and guidance All that I'm wishing for my friends Nobody makes it from my ends I had to bust up the silence You know you gotta stick by me Soon as you see the text reply me I don't wanna spend time fighting We've got no time ,[chorus] That's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me   [chorus] And that's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me  [chorus] I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me
Drake,Passionfruit,[verse] Listen Seein' you got ritualistic Cleansin' my soul of addiction for now 'Cause I'm fallin' apart yeah Tension Between us just like picket fences You got issues that I won’t mention for now ’Cause we're fallin’ apart  [verse] Listen Harder buildin' trust from a distance I think we should rule out commitment for now 'Cause we're fallin' apart Leavin' You're just doing that to get even Don't pick up the pieces just leave it for now They keep fallin' apart ,[chorus] Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you no no Passionate from miles away Passive with the things you say Passin' up on my old ways I can’t blame you no no  [chorus] Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you no no Passionate from miles away Passive with the things you say Passin' up on my old ways I can't blame you no no
Ed Sheeran,Addicted,[verse] I think I took too much I'm addicted to your touch But I'm crying In shame again [verse] Oh well we've come this far You're my Venus And I'm your Mars And we've passed the moon and stars And I'm gone,[chorus] And now I'm high as a kite And I know I might be gone When you get home [chorus] But now I'm high as a kite And I know I might be gone When you get home I'm high as a kite And I know I'm almost gone When you get home  So please come home
Ed Sheeran,Afire Love,"[verse] Things were all good yesterday And then the devil took your memory And if you fell to your death today I hope that heaven is your resting place I heard the doctors put your chest in pain But then that could've been the medicine And now you're lying in the bed again Either way I'll cry with the rest of them  And my father told me ""son It's not his fault he doesn't know your face And you're not the only one"" Although my grandma used to say that he used to sing",[chorus] Darling hold me in your arms the way you did last night And we'll lie inside for a little while here oh I could look into your eyes until the sun comes up And we're wrapped in light and life and love Put your open lips on mine and slowly let them shut For they're designed to be together oh With your body next to mine our hearts will beat as one And we're set alight we're afire love Oh love
Ed Sheeran,All of the Stars,"[verse] It's just another night and I'm staring at the moon I saw a shooting star and thought of you I sang a lullaby by the waterside and knew If you were here I'd sing to you You're on the other side as the skyline splits in two I'm miles away from seeing you But I can see the stars from America I wondered do you see them too? [verse] I can hear your heart on the radio beat They're playing ""Chasing Cars"" and I thought of us Back to the time you were lying next to me I looked across and fell in love So I took your hand back through lamp lit streets I knew Everything led back to you So can you see the stars over Amsterdam? You're the song my heart is beating to",[chorus] So open your eyes and see The way our horizons meet And all of the lights will lead Into the night with me And I know these scars will bleed But both of our hearts believe All of these stars will guide us home
Ed Sheeran,Amsterdam (Sweet Mary Jane),[verse] I woke up early looking out my window At the Amsterdam sky Oh baby I was high last night Café clouds and red lights When I gotcha in mind You slowed down time Oh baby I was out of my mind Sing a song cover and hold me tight ,[chorus] Cause everyday that I'm breathing I think you are the one I love the way that your sweet words just roll off of my tongue Feel the flame of your wisdom and fill up my lungs Sweet Mary Jane won’t you sing me another song
Ed Sheeran,Galway Girl,[verse] I met her on Grafton street right outside of the bar She shared a cigarette with me while her brother played the guitar She asked me what does it mean the Gaelic ink on your arm? Said it was one of my friend's songs do you want to drink on? She took Jamie as a chaser Jack for the fun She got Arthur on the table with Johnny riding a shotgun Chatted some more one more drink at the bar Then put Van on the jukebox got up to dance  [verse] You know she beat me at darts and then she beat me at pool And then she kissed me like there was nobody else in the room As last orders were called was when she stood on the stool After dancing the céili singing to trad tunes I never heard Carrickfergus ever sung so sweet A cappella in the bar using her feet for a beat Oh I could have that voice playing on repeat for a week And in this packed out room swear she was singing to me  [verse] And now we've outstayed our welcome and it's closing time I was holding her hand her hand was holding mine Our coats both smell of smoke whisky and wine As we fill up our lungs with the cold air of the night I walked her home then she took me inside To finish some Doritos and another bottle of wine I swear I'm gonna put you in a song that I write About a Galway Girl and a perfect night ,"[chorus] She played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said ""Baby I just want to dance""  [chorus] You know she played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said ""Baby I just want to dance"" With my pretty little Galway Girl You're my pretty little Galway Girl  [chorus] You know she played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said ""Baby I just want to dance"" My pretty little Galway Girl My my my my my my my Galway Girl My my my my my my my Galway Girl My my my my my my my Galway Girl  [chorus] She played the fiddle in an Irish band But she fell in love with an English man Kissed her on the neck and then I took her by the hand Said ""Baby I just want to dance"" My pretty little Galway Girl My my my my my my my Galway Girl My my my my my my my Galway Girl My my my my my my my Galway Girl"
Ed Sheeran,Perfect,[verse] I found a love for me Oh darling just dive right in and follow my lead Well I found a girl beautiful and sweet Oh I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling just kiss me slow your heart is all I own And in your eyes you're holding mine  [verse] Well I found a woman stronger than anyone I know She shares my dreams I hope that someday I'll share her home I found a love to carry more than just my secrets To carry love to carry children of our own We are still kids but we're so in love Fighting against all odds I know we'll be alright this time Darling just hold my hand Be my girl I'll be your man I see my future in your eyes ,[chorus] Baby I'm dancing in the dark with you between my arms Barefoot on the grass listening to our favourite song When you said you looked a mess I whispered underneath my breath But you heard it darling you look perfect tonight  [chorus] Baby I'm dancing in the dark with you between my arms Barefoot on the grass listening to our favorite song When I saw you in that dress looking so beautiful I don't deserve this darling you look perfect tonight Baby I'm dancing in the dark with you between my arms Barefoot on the grass listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight
