Artist,Song Title,anger,joy,fear,sadness,surprise
Keith Emerson,"The Endless Enigma Suite, Pt. 2",-1,-1,-1,-1,-1
Kim Kwang-seok,Get Up(with Common Ground),0.1602597386,0.28683093190000003,0.2535052896,0.22044327860000001,0.07896075400000001
Kim Kwang-seok,Where the Wind Rises(with Hareem),0.0382312797,0.1187663525,0.7211317420000001,0.1087535173,0.0131171253
Kingston Wall,Alt-Land-Is,-1,-1,-1,-1,-1
Kingston Wall,Another Piece of Cake,-1,-1,-1,-1,-1
Kingston Wall,For All Mankind,-1,-1,-1,-1,-1
Kingston Wall,"I'm the King, I'm the Sun",0.6992256045,0.0317580178,0.1162694618,0.1322818846,0.0204650406
Kingston Wall,Party Goes On,0.191047281,0.1479906738,0.1280565858,0.5022855997,0.0306199007
Kingston Wall,Take You to Sweet Harmony,-1,-1,-1,-1,-1
Kingston Wall,The Real Thing,0.15212979910000002,0.2648794651,0.0890456736,0.2028870583,0.29105794430000004
Kingston Wall,Time,-1,-1,-1,-1,-1
Kingston Wall,Welcome to the Mirrorland,0.1502278,0.0865923911,0.18732842800000002,0.41710305210000004,0.1587483287
Link 80,Better Than Shit,0.4490325451,0.054515656100000004,0.1204633117,0.35176873210000004,0.0242197569
Link 80,For What It's Worth,-1,-1,-1,-1,-1
Link 80,No Such Thing,-1,-1,-1,-1,-1
Link 80,Packing Up,0.6675962806,0.0242414009,0.0354301333,0.2592704594,0.0134617519
Link 80,The Truth of It,-1,-1,-1,-1,-1
Linkin Park,Halfway Right,0.065437153,0.1033464149,0.3174167275,0.5073353648,0.0064643151000000005
Linkin Park,Heavy (feat. Kiiara),0.23927429320000002,0.0416303985,0.1974577606,0.4938556552,0.027781879500000002
Material Issue,A Very Good Thing,-1,-1,-1,-1,-1
Material Issue,Kim the Waitress,0.7952014208,0.0032733828000000003,0.015651868700000002,0.184425354,0.0014479503
Material Issue,She's Goin' Thru My Head,0.538839817,0.0324901603,0.032136168300000004,0.3710608482,0.025472924100000002
Michael Hutchence,A Straight Line,-1,-1,-1,-1,-1
Michael Hutchence,All I'm Saying,0.1064057127,0.1940250993,0.1554065943,0.5240674019,0.0200951826
Michael Hutchence,Baby It's Alright,0.011700375,0.2328083515,0.14545954760000002,0.0664329082,0.5435987711
Michael Hutchence,Breathe,0.011609903500000001,0.5561224222,0.1402775347,0.028337292400000002,0.2636528611
Michael Hutchence,Don't Save Me from Myself,0.0967032313,0.0820855349,0.0677099153,0.7211046219,0.0323966444
Michael Hutchence,Fear,-1,-1,-1,-1,-1
Michael Hutchence,Flesh and Blood,0.074977316,0.5114364624000001,0.07941013570000001,0.196569711,0.1376063824
Michael Hutchence,Get on the Inside,0.022016380000000002,0.1230983809,0.6539692879,0.1695814282,0.0313345119
Michael Hutchence,Let Me Show You,-1,-1,-1,-1,-1
Michael Hutchence,Possibilities,0.1549262404,0.0415656269,0.1629679203,0.555334568,0.0852056518
Michael Hutchence,Put the Pieces Back Together,0.2673760653,0.0636537895,0.1009024233,0.5514512062,0.0166165233
Michael Hutchence,She Flirts for England,0.5172875524,0.0125735728,0.38883832100000004,0.052019558800000004,0.0292810202
Michael Hutchence,Slide Away,0.3441607654,0.0236561634,0.0877280533,0.5318869352,0.0125680827
Nick Drake,From the Morning,-1,-1,-1,-1,-1
Nick Drake,Parasite,-1,-1,-1,-1,-1
Nick Drake,Pink Moon,0.007082439,0.6307770014,0.0341525525,0.0279575437,0.3000304699
Nick Drake,Place to Be,-1,-1,-1,-1,-1
Nick Drake,Road,-1,-1,-1,-1,-1
Nick Drake,Things Behind the Sun,-1,-1,-1,-1,-1
Nick Drake,Which Will,-1,-1,-1,-1,-1
Nicky Thomas,(Baby) I can change my mind,0.5016846657,0.0340783298,0.0507735834,0.3926645219,0.0207988825
Nicky Thomas,Have a Little Faith,-1,-1,-1,-1,-1
Nikolas Asimos,Bagasas,-1,-1,-1,-1,-1
Nikolas Asimos,I don't want you to cry my heart,-1,-1,-1,-1,-1
Nikolas Asimos,Lina,-1,-1,-1,-1,-1
Nirvana,All Apologies,-1,-1,-1,-1,-1
Nirvana,Dumb,0.2237411141,0.0234820489,0.4426198304,0.3092561066,0.0009009830000000001
Nirvana,Heart-Shaped Box,-1,-1,-1,-1,-1
Nirvana,Milk It,0.18369895220000002,0.027056668000000002,0.06619586050000001,0.7073838711,0.0156646464
Nirvana,Pennyroyal Tea,-1,-1,-1,-1,-1
Nirvana,Radio Friendly Unit Shifter,0.7355979681,0.0098252576,0.0930813327,0.1285894215,0.032906048
Nirvana,Rape Me,-1,-1,-1,-1,-1
Nirvana,Serve the Servants,-1,-1,-1,-1,-1
Nirvana,Tourette's,-1,-1,-1,-1,-1
Nirvana,Very Ape,-1,-1,-1,-1,-1
Owsley,Be With You,-1,-1,-1,-1,-1
Owsley,Dirty Bird,0.0903073251,0.0987214595,0.0135320444,0.26175206900000003,0.5356870890000001
Owsley,Down,0.1687119752,0.11413803700000001,0.2203470469,0.29130172730000004,0.20550121370000002
Owsley,Dude,-1,-1,-1,-1,-1
Owsley,Matriarch,-1,-1,-1,-1,-1
Owsley,Rise,-1,-1,-1,-1,-1
Owsley,She's the One,-1,-1,-1,-1,-1
Owsley,The Hard Way,0.5775616169000001,0.0269784778,0.10713407400000001,0.28207260370000004,0.0062532141000000005
Owsley,Undone,-1,-1,-1,-1,-1
Phil Ochs,Chords Of Fame,-1,-1,-1,-1,-1
Phil Ochs,I Ain't Marching Anymore,0.21079410610000002,0.1556522697,0.152730912,0.3840144277,0.0968083143
Phil Ochs,Tape From California,-1,-1,-1,-1,-1
Phil Ochs,The Pleasures of the Harbor,-1,-1,-1,-1,-1
Reagan Youth,(Are You) Happy,-1,-1,-1,-1,-1
Reagan Youth,Anytown,0.3473558426,0.1275838017,0.40414595600000003,0.1132326871,0.0076815933
Reagan Youth,Degenerated,0.1731426269,0.0993825346,0.5085920691,0.1515607983,0.06732194870000001
Reagan Youth,Go Nowhere,-1,-1,-1,-1,-1
Reagan Youth,In Dog We Trust,-1,-1,-1,-1,-1
Reagan Youth,New Aryans,-1,-1,-1,-1,-1
Reagan Youth,No Class,-1,-1,-1,-1,-1
Reagan Youth,Reagan Youth,-1,-1,-1,-1,-1
Reagan Youth,USA,0.6024776697,0.013701317800000001,0.15445384380000002,0.1833488047,0.046018376900000005
Sparklehorse,Angel's Harp,-1,-1,-1,-1,-1
Sparklehorse,Daddy's Gone,0.31791481380000003,0.0997824967,0.0473795049,0.4075299203,0.1273933053
Sparklehorse,Dark Night Of The Soul,0.2674836516,0.0793676376,0.18214146790000002,0.4476430416,0.0233642347
Sparklehorse,Everytime I'm With You,0.1635264307,0.0623484552,0.27938669920000003,0.29844319820000004,0.1962951869
Sparklehorse,Grim Augury,0.130789876,0.0682455748,0.1656132787,0.5947066545,0.0406445898
Sparklehorse,Insane Lullaby,0.28326788540000003,0.0503028035,0.068628937,0.5814207792,0.0163796246
Sparklehorse,Jaykub,0.062193270800000006,0.7232683897000001,0.066449374,0.0957822576,0.0523067266
Sparklehorse,Just War,-1,-1,-1,-1,-1
Sparklehorse,Little Girl,0.174528867,0.25841581820000004,0.1328477412,0.1446955353,0.2895120382
Sparklehorse,Pain,0.4590080976,0.0177895222,0.0522005782,0.467584312,0.0034174761
Sparklehorse,Revenge,-1,-1,-1,-1,-1
Sparklehorse,Star Eyes (I Can't Catch It),-1,-1,-1,-1,-1
Sparklehorse,The Man Who Played God,0.1626802087,0.3209447861,0.12732176480000001,0.3331473172,0.0559058636
Stone Temple Pilots,Black Heart,0.1453059316,0.12482029200000001,0.44702053070000003,0.2565920055,0.0262612496
Stone Temple Pilots,Cry cry,-1,-1,-1,-1,-1
Stone Temple Pilots,Out of time,0.2465994507,0.047062102700000004,0.0652141571,0.6119214296000001,0.0292028412
Stone Temple Pilots,Same On The Inside,0.5383595228,0.0378814563,0.0542776436,0.3150011301,0.054480247200000005
Stone Temple Pilots,Tomorrow,0.1419119388,0.262232244,0.1614725143,0.2980955839,0.1362877786
Susan Fassbender,Merry-go-round,0.2384425253,0.1276112348,0.16340593990000002,0.4593051374,0.0112351738
The Raphaels,Learn to Row,0.0970081091,0.2272414714,0.1691225171,0.4827041924,0.023923704400000002
The Raphaels,Old Country Country,-1,-1,-1,-1,-1
The Raphaels,Private Battlefield,0.1559311897,0.045704864000000005,0.0947926193,0.6543263197,0.0492449738
The Raphaels,Shattered Cross,0.5314097404,0.0151409097,0.0898708552,0.3450828791,0.0184956007
The Raphaels,Simple Man,0.0833511502,0.4517553747,0.22278383370000002,0.1850327253,0.0570768341
The Raphaels,Supernatural,0.2099951804,0.13127180930000001,0.1012644693,0.5190697908,0.038398683100000004
The Raphaels,Too Many Ghosts,0.0678547397,0.0316055939,0.0800410658,0.8001157045,0.0203828905
The Raphaels,Toujour Aimez,0.056818191000000004,0.1251459718,0.12241527440000001,0.3523669243,0.3432536721
