Artist,Song Title,Tempo,Loudness,Energy,Genre,Danceability,Mode,Valence,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus
Germs,Manimal,105.879,-8.354,0.956,13,0.318,0,0.319,0.434141,0.1818,0.28118899999999997,0.212777,0.15262699999999998,0.15284,0.359734,0.102003,0.261818,0.283408
Germs,Media Blitz,125.943,-11.192,0.8759999999999999,13,0.44,1,0.721,0.372081,0.23779099999999997,0.087935,0.12670399999999998,0.286804,0.29955,0.18220799999999998,0.116551,0.27914,0.29388400000000003
Germs,Our Way,116.348,-6.882999999999999,0.952,13,0.52,1,0.6920000000000001,0.827569,0.13736099999999998,0.031863999999999996,0.059773,0.024584,0.260475,0.156555,0.212348,0.273268,0.416508
Germs,Richie Dagger's Crime,103.056,-8.297,0.911,13,0.379,1,0.5710000000000001,0.124419,0.42442399999999997,0.009632,0.44673500000000005,0.181816,0.148952,0.584792,0.041173,0.071061,0.21782600000000002
Germs,Shut Down,121.342,-8.007,0.8240000000000001,13,0.319,0,0.665,0.26923,0.24920799999999999,0.216718,0.056214,0.41958999999999996,0.36706,0.179101,0.26018,0.047075,0.257813
Germs,Strange Notes,133.02,-8.196,0.937,13,0.245,1,0.679,0.480583,0.19833399999999998,0.13594900000000001,0.145823,0.255458,0.6878029999999999,0.06933500000000001,0.251109,0.094331,0.115548
Germs,The Other Newest One,136.688,-8.228,0.9,13,0.5720000000000001,1,0.737,0.69112,0.155329,0.251288,0.025730000000000003,0.043637,0.23178800000000002,0.598078,0.162529,0.018328999999999998,0.057238
Germs,The Slave,122.589,-8.769,0.949,13,0.361,0,0.574,0.181833,0.301184,0.255796,0.390326,0.079621,0.357404,0.33229699999999995,0.16835999999999998,0.119512,0.193214
Germs,We Must Bleed,108.991,-7.5870000000000015,0.968,13,0.295,0,0.256,0.044885,0.154949,0.209666,0.05864,0.6897909999999999,0.6332720000000001,0.03586,0.3498,0.030551,0.160551
Germs,What We Do Is Secret,112.28,-6.507999999999999,0.816,13,0.518,1,0.843,0.233248,0.693759,0.033701999999999996,0.014503,0.057285,0.118567,0.738488,0.058712,0.025092,0.116876
Gin Blossoms,"Hey, Jealousy",153.005,-7.42,0.785,11,0.464,0,0.528,0.548445,0.24823,0.157208,0.03683,0.157915,0.1739,0.414045,0.184626,0.083078,0.301673
Herman Brood,My Way,152.011,-15.722,0.282,3,0.425,1,0.141,0.703905,0.133251,0.144921,0.109828,0.095601,0.685343,0.282552,0.030786,0.013218,0.047737
Herman Brood,When I Get Home,116.697,-15.936,0.14,3,0.607,1,0.57,0.37590500000000004,0.192363,0.277942,0.034638,0.11770599999999999,0.082429,0.683606,0.109604,0.085018,0.10307999999999999
hide,ever free,129.129,-12.474,0.35700000000000004,14,0.609,1,0.5489999999999999,0.573485,0.364759,0.095961,0.010617,0.054479999999999994,0.298029,0.24393299999999998,0.451842,0.035135,0.057773000000000005
hide,Hurry go round,84.024,-11.773,0.317,14,0.557,1,0.7979999999999999,0.494021,0.455219,0.061427999999999996,0.042575,0.028054000000000003,0.811072,0.054879,0.20069,0.016141,0.118549
hide,Rocket Dive,121.029,-13.419,0.374,14,0.615,1,0.518,0.20365,0.613491,0.041586,0.033839,0.134054,0.160707,0.48206400000000005,0.20214000000000001,0.20106300000000002,0.09864500000000001
Jonghyun,#Hashtag,105.058,-8.783999999999999,0.464,1,0.86,0,0.652,0.1827,0.023385,0.06665,0.37785799999999997,0.657831,0.13761199999999998,0.337696,0.018188,0.356135,0.352973
Jonghyun,Before Our Spring,103.976,-9.518,0.246,1,0.634,1,0.404,0.065117,0.9128930000000001,0.012306000000000001,0.002553,0.006147,0.209123,0.24983000000000002,0.576325,0.021309,0.068941
Jonghyun,Grease,139.79,-3.892,0.779,1,0.585,1,0.708,0.761584,0.011761,0.190084,0.141059,0.20599,0.742598,0.013113,0.13211900000000001,0.092184,0.321946
Jonghyun,Just for a day,99.872,-3.846,0.802,1,0.711,1,0.3670000000000001,0.449842,0.30246100000000004,0.268298,0.047476,0.081678,0.47619700000000004,0.223784,0.21496500000000002,0.052506,0.107518
Jonghyun,Only One You Need,113.937,-3.967,0.799,1,0.629,0,0.512,0.6027140000000001,0.443604,0.734631,0.076049,0.155717,0.267307,0.02988,0.10041699999999999,0.010541,0.033069
Jonghyun,Rewind,118.003,-5.45,0.7490000000000001,1,0.922,0,0.535,0.40221999999999997,0.155323,0.10636500000000002,0.129934,0.43082600000000004,0.061936,0.10401700000000001,0.060835,0.009525,0.045087999999999996
Jonghyun,Sentimental,82.95100000000002,-5.25,0.635,1,0.466,0,0.396,0.779903,0.027967000000000002,0.323393,0.053784000000000005,0.038872000000000004,0.7208939999999999,0.074478,0.210179,0.128074,0.103155
Jonghyun,Shinin',115.085,-2.873,0.853,1,0.741,1,0.731,0.091363,0.584091,0.28329099999999996,0.018137999999999998,0.009844,0.014813999999999999,0.567268,0.013415999999999999,0.009428,0.024065
Jonghyun,Sightseeing,85.023,-2.833,0.902,1,0.6759999999999999,1,0.7759999999999999,0.111728,0.052887,0.313691,0.475199,0.399097,0.097787,0.071019,0.13505,0.46863299999999997,0.190046
Jonghyun,Take The Dive,105.108,-4.114,0.708,1,0.52,0,0.527,0.383619,0.543914,0.076947,0.009795,0.024031,0.023393999999999998,0.353351,0.025435,0.020234000000000002,0.013396000000000002
Joy Division,A Means to an End,130.549,-7.9460000000000015,0.7859999999999999,11,0.655,0,0.752,0.199087,0.39161799999999997,0.149534,0.33471999999999996,0.089411,0.228237,0.20471,0.21402600000000002,0.09904600000000001,0.37552800000000003
Joy Division,Atrocity Exhibition,126.435,-7.348,0.767,11,0.565,1,0.787,0.513933,0.053594,0.30029,0.332615,0.148838,0.173807,0.305669,0.042705,0.044532999999999996,0.153752
Joy Division,Colony,137.612,-7.292000000000002,0.88,11,0.6,1,0.8079999999999999,0.7002229999999999,0.008827,0.422451,0.061315999999999996,0.11460799999999999,0.050744,0.798621,0.023016,0.032366000000000006,0.11590299999999999
Joy Division,Decades,107.089,-9.206,0.5379999999999999,11,0.5720000000000001,1,0.436,0.451679,0.00902,0.609453,0.091461,0.19171400000000002,0,0,0,0,0
Joy Division,Heart and Soul,149.774,-9.817,0.611,11,0.64,1,0.68,0.44152299999999994,0.21076399999999998,0.296269,0.026895999999999996,0.254974,0.45348,0.454057,0.12124700000000001,0.001918,0.045362
Joy Division,Isolation,151.52200000000005,-8.12,0.7829999999999999,11,0.544,1,0.6970000000000001,0.11433499999999999,0.73653,0.12434100000000001,0.039447,0.035512,0,0,0,0,0
Joy Division,Love Will Tear Us Apart,146.83,-8.662,0.902,11,0.525,1,0.907,0.567964,0.026329,0.126216,0.407658,0.21711100000000003,0.168294,0.7392029999999999,0.047943,0.017192,0.046608
Joy Division,Passover,127.977,-11.936,0.5770000000000001,11,0.773,1,0.941,0.392831,0.027068000000000002,0.20055499999999998,0.12222000000000001,0.6062960000000001,0.505616,0.043611000000000004,0.23117,0.158796,0.377571
Joy Division,The Eternal,109.574,-14.043,0.474,11,0.507,1,0.327,0.529145,0.428521,0.026456999999999998,0.011597,0.07799199999999999,0.667754,0.260251,0.071489,0.024603,0.09567300000000001
Joy Division,Twenty Four Hours,131.73,-8.955,0.879,11,0.363,1,0.647,0.7305520000000001,0.190255,0.10663800000000001,0.010328,0.088179,0.670602,0.092649,0.28256,0.07206,0.115378
Keith Emerson,"The Endless Enigma Suite, Pt. 1",87.602,-11.705,0.374,3,0.17,1,0.0742,0.44161999999999996,0.011451000000000001,0.09199500000000001,0.42242799999999997,0.418972,0.163249,0.035764,0.418508,0.22769299999999998,0.111831
Keith Emerson,"The Endless Enigma Suite, Pt. 2",77.233,-10.944,0.298,3,0.262,1,0.234,0.622161,0.20448,0.222568,0.010998,0.107276,0.24178400000000003,0.488829,0.22488000000000002,0.078679,0.030784
Kim Kwang-seok,Get Up(with Common Ground),95.006,-6.377999999999999,0.516,15,0.6779999999999999,0,0.706,0.5860449999999999,0.12862,0.095394,0.319971,0.092836,0.283572,0.6823170000000001,0.019518999999999998,0.005543,0.021421
Kim Kwang-seok,Where the Wind Rises(with Hareem),107.939,-5.547999999999999,0.425,15,0.51,1,0.344,0.061125,0.777199,0.12598800000000002,0.01684,0.057153999999999996,0.081916,0.411206,0.546322,0.018625,0.030566000000000003
Kingston Wall,Alt-Land-Is,141.718,-6.346,0.873,16,0.274,0,0.213,0.46528400000000003,0.281263,0.183523,0.078637,0.125565,0.184115,0.606588,0.1114,0.035574,0.128617
Kingston Wall,Another Piece of Cake,95.799,-7.154,0.759,16,0.4320000000000001,0,0.471,0.58534,0.073866,0.138006,0.192299,0.305053,0.510027,0.070523,0.076275,0.066313,0.527358
Kingston Wall,For All Mankind,135.577,-9.081,0.652,16,0.368,1,0.133,0.459308,0.434884,0.054537999999999996,0.017946,0.09462000000000001,0.279149,0.5408689999999999,0.070849,0.11508499999999999,0.021249
Kingston Wall,"I'm the King, I'm the Sun",123.395,-6.884,0.893,16,0.489,1,0.33,0.10994100000000001,0.407991,0.064153,0.05587,0.18576900000000002,0.201871,0.754232,0.020565,0.005365999999999999,0.004209
Kingston Wall,Party Goes On,143.41899999999995,-5.794,0.948,16,0.332,0,0.264,0.590815,0.147351,0.23483,0.017214,0.201182,0.47907,0.529908,0.07407899999999999,0.6936140000000001,0.206429
Kingston Wall,Take You to Sweet Harmony,141.63,-8.204,0.604,16,0.605,1,0.482,0.223336,0.640638,0.07597000000000001,0.072357,0.049433,0.070617,0.8895059999999999,0.008587000000000001,0.003047,0.031058
Kingston Wall,The Real Thing,122.994,-10.419,0.397,16,0.24,1,0.0981,0.24036300000000002,0.663135,0.061972,0.026975,0.033884,0.466128,0.068156,0.146868,0.27374499999999996,0.357941
