,Artist,Song Title,sadness_verse,joy_verse,fear_verse,disgust_verse,anger_verse,sadness_chorus,joy_chorus,fear_chorus,disgust_chorus,anger_chorus,Genre,Energy,Danceability,Mode,Valence
72,Donny Hathaway,Come Little Children,0.697687,0.21568299999999999,0.083594,0.073947,0.049782,0.354858,0.282012,0.21574400000000002,0.152589,0.096697,soul,0.7809999999999999,0.861,1,0.685
73,Donny Hathaway,Flying Easy,0.016385,0.9492290000000001,0.014913999999999998,0.0070290000000000005,0.0051140000000000005,0.019508,0.944592,0.024841,0.004111999999999999,0.005147,soul,0.726,0.6829999999999999,1,0.544
74,Donny Hathaway,I Love You More Than You'll Ever Know,0.09085,0.713795,0.107607,0.043475,0.056162000000000004,0.376801,0.443461,0.05954299999999999,0.074556,0.131641,soul,0.21899999999999997,0.19899999999999998,0,0.304
75,Donny Hathaway,Lord Help Me,0.059698,0.716003,0.022702,0.005684000000000001,0.008867,0.042608999999999994,0.877926,0.053002999999999995,0.003921,0.00626,soul,0.523,0.42700000000000005,1,0.419
76,Donny Hathaway,Love love love,0.136344,0.74854,0.128923,0.004604,0.016793000000000002,0.10436600000000001,0.797056,0.083949,0.041533999999999995,0.011629,soul,0.636,0.69,1,0.49700000000000005
77,Donny Hathaway,Magdalena,0.45935200000000004,0.20021,0.136999,0.186594,0.286329,0.213641,0.442267,0.37001300000000004,0.014906,0.028064,soul,0.778,0.833,1,0.43799999999999994
78,Donny Hathaway,Someday We'll All Be Free,0.07295,0.620038,0.34371,0.012163,0.013722,0.13056099999999998,0.361711,0.101137,0.10056,0.167884,soul,0.413,0.249,1,0.379
79,Elliott Smith,A Distorted Reality is Now a Necessity to be Free,0.48438000000000003,0.09350499999999999,0.058717,0.227338,0.45647600000000005,0.24543800000000002,0.713148,0.05363099999999999,0.001375,0.002665,alternative rock,0.441,0.294,1,0.575
80,Elliott Smith,A Passing Feeling,0.495476,0.035331,0.185409,0.040119,0.529884,0.498328,0.090286,0.216902,0.20309100000000002,0.14444200000000001,alternative rock,0.52,0.16,0,0.368
81,Elliott Smith,Coast To Coast,0.337405,0.01923,0.188802,0.063707,0.6733560000000001,0.24913400000000002,0.027358999999999998,0.23603200000000002,0.012541,0.35731799999999997,alternative rock,0.677,0.174,1,0.183
